state,url
AK,http://www.elections.alaska.gov/results/12GENR/index.shtml
AL,http://www.sos.state.al.us/downloads/election/2012/general/statecert-amended-general-12-17-2012.pdf
AR,http://results.enr.clarityelections.com/AR/42843/113233/en/summary.html
AZ,http://www.azsos.gov/election/2012/General/Canvass2012GE.pdf
CA,http://www.sos.ca.gov/elections/sov/2012-general/10-president.pdf
CO,http://results.enr.clarityelections.com/CO/43032/113865/en/reports.html
CT,http://www.statementofvote-sots.ct.gov/StatementOfVote/WebModules/ReportsLink/PresCounty.aspx
DC,http://www.archives.gov/federal-register/electoral-college/2012-certificates/pdfs/ascertainment-district-of-columbia.pdf
DE,http://elections.delaware.gov/results/html/stwoff_kns.shtml
FL,http://enight.elections.myflorida.com/CompareCounties/?ContestId=100000
GA,http://results.enr.clarityelections.com/GA/42277/113204/en/summary.html
HI,http://hawaii.gov/elections/results/2012/general/
IA,http://electionresults.sos.iowa.gov/resultsSW.aspx?type=FED&map=CTY
ID,http://www.sos.idaho.gov/elect/RESULTS/2012/General/cnty_USPres.htm
IL,http://www.elections.il.gov/Downloads/ElectionInformation/VoteTotals/GE2012Cty.txt
IN,http://www.in.gov/apps/sos/election/general/general2012?page=district&countyID=-1&officeID=36&districtID=937&candidate=
KS,http://www.sos.ks.gov/elections/elections_statistics.html
KY,http://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf
LA,http://staticresults.sos.la.gov/11062012/11062012_46257.html
MA,http://electionstats.state.ma.us/elections/view/22515/
MD,http://www.elections.state.md.us/elections/2012/results/general/gen_detail_results_2012_4_BOT001-.html
ME,http://maine.gov/sos/cec/elec/prior12-13.htm#nov
MI,http://miboecfr.nictusa.com/election/results/12GEN/01000000.html
MN,http://electionresults.sos.state.mn.us/ENR/Select/Download/1
MO,http://enr.sos.mo.gov/ENR/Views/TabularData.aspx?TabView=StateRaces^Federal%20/%20Statewide%20Races^011656688155
MS,http://www.sos.ms.gov/elections_results_2012_certified.aspx
MT,http://sos.mt.gov/elections/2012/2012_General_Canvass.pdf
NC,http://results.enr.clarityelections.com/NC/42923/113873/Web01/en/summary.html
ND,http://results.sos.nd.gov/resultsSW.aspx?text=Race&type=SW&map=CTY
NE,http://www.sos.ne.gov/elec/2012/pdf/2012-general-canvass.pdf
NH,http://sos.nh.gov/WorkArea/DownloadAsset.aspx?id=28313
NJ,http://www.nj.gov/state/elections/2012-results/2012-official-general-results-president-020513.pdf
NM,http://sos.state.nm.us/2012GenResults/CountyResults.htm
NV,http://www.silverstateelection.com/
NY,http://www.elections.ny.gov/NYSBOE/elections/2012/General/President_02-06-2013.pdf
OH,http://www.sos.state.oh.us/SOS/elections/Research/electResultsMain/2012Results.aspx
OK,http://www.ok.gov/elections/The_Archives/Election_Results/2012_Election_Results/
OR,http://oregonvotes.org/doc/history/nov62012/G12_Abstract.pdf
PA,http://www.electionreturns.state.pa.us/ElectionsInformation.aspx?FunctionID=15&ElectionID=53&OfficeID=1#BOTTOM
RI,http://www.ri.gov/election/results/2012/general_election/data/
SC,http://www.enr-scvotes.org/SC/42513/114557/en/summary.html
SD,http://electionresults.sd.gov/resultsSW.aspx?type=SWR&map=CTY
TN,http://www.tn.gov/sos/election/results/2012-11/USPresidentCountyTotals.pdf
TX,http://elections.sos.state.tx.us/elchist.exe
UT,http://www.electionresults.utah.gov/xmlData/300000.html
VA,https://www.voterinfo.sbe.virginia.gov/election/DATA/2012/68C30477-AAF2-46DD-994E-5D3BE8A89C9B/Official/1_l_1323CEA4-0C91-4BA4-BEC1-ECF0B10F499F_s.shtml
VT,http://vermont-elections.org/elections1/2012ElectionResults/2012GeneralElectionResults/2012USPresident.pdf
WA,http://vote.wa.gov/results/20121106/Export.html
WI,http://gab.wi.gov/elections-voting/results/2012/fall-general
WV,http://apps.sos.wv.gov/elections/results/
WY,http://soswy.state.wy.us/Elections/Docs/2012/Results/General/2012_Statewide_Candidates_Summary.pdf
