"","fips","Donald Trump","Gary Johnson","Hillary Clinton","Jill Stein","v_diff"
"1","24001",20025,778,6665,336,-13360
"2","24003",114509,9365,116074,2991,1565
"3","24005",131009,9998,189437,4573,58428
"4","24009",24680,1647,16669,449,-8011
"5","24011",8999,415,3747,121,-5252
"6","24013",55593,4011,24314,961,-31279
"7","24015",27579,1544,12651,535,-14928
"8","24017",24163,1555,46063,699,21900
"9","24019",7938,307,5695,94,-2243
"10","24021",56472,5005,51891,1594,-4581
"11","24023",10189,367,2252,97,-7937
"12","24025",74261,4686,43803,1474,-30458
"13","24027",44792,5716,93808,2085,49016
"14","24029",4598,288,4178,102,-420
"15","24031",82985,9917,309761,5637,226776
"16","24033",29290,3963,313627,4211,284337
"17","24035",16211,855,7316,251,-8895
"18","24037",26889,2042,15786,452,-11103
"19","24039",5056,171,3484,57,-1572
"20","24041",10098,586,7865,182,-2233
"21","24043",38842,1992,19193,704,-19649
"22","24045",20832,1175,16327,388,-4505
"23","24047",15910,651,8783,227,-7127
"24","24510",22726,4073,178562,3619,155836
